"filename", "language", "C#", "comment", "blank", "total"
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Buff\BuffHandler\LuckBuffHandler.cs", "C#", 19, 0, 5, 24
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Buff\BuffHandler\SpeedBuffHandler.cs", "C#", 19, 1, 5, 25
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Buff\BuffPickupable.cs", "C#", 26, 0, 9, 35
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Buff\BuffProfileSO.cs", "C#", 20, 0, 5, 25
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Buff\BuffSpawner.cs", "C#", 39, 40, 11, 90
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Bullet\BulletAbstract.cs", "C#", 17, 0, 4, 21
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Bullet\BulletCtrl.cs", "C#", 38, 0, 10, 48
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Bullet\BulletDamageSender.cs", "C#", 23, 0, 6, 29
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Bullet\BulletDespawn.cs", "C#", 9, 0, 2, 11
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Bullet\BulletFly.cs", "C#", 10, 0, 2, 12
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Bullet\BulletImpact.cs", "C#", 35, 0, 8, 43
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Bullet\BulletSpawner.cs", "C#", 16, 0, 4, 20
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Bullet\MissleDespawn.cs", "C#", 61, 0, 13, 74
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Bullet\MissleFly.cs", "C#", 10, 0, 2, 12
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Despawn\Despawn.cs", "C#", 17, 0, 6, 23
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Despawn\DespawnByDis.cs", "C#", 20, 1, 5, 26
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Despawn\DespawnByTime.cs", "C#", 19, 0, 4, 23
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\FX\FXDespawn.cs", "C#", 13, 0, 2, 15
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\FX\FXSpawner.cs", "C#", 21, 0, 4, 25
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\HPBar\HPBarSpawner.cs", "C#", 21, 0, 7, 28
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\InputHotKeyManager.cs", "C#", 31, 0, 6, 37
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\InputManager.cs", "C#", 48, 6, 9, 63
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Item\Inventory\Inventory.cs", "C#", 135, 4, 27, 166
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Item\Inventory\InventoryAbstract.cs", "C#", 17, 0, 4, 21
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Item\Inventory\ItemInventory.cs", "C#", 37, 3, 10, 50
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Item\Inventory\ItemInventoryDrop.cs", "C#", 28, 2, 9, 39
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Item\Inventory\ItemLooter.cs", "C#", 36, 0, 7, 43
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Item\Inventory\ItemPickupable.cs", "C#", 32, 0, 9, 41
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Item\Inventory\ItemRecipe.cs", "C#", 8, 0, 3, 11
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Item\Inventory\ItemRecipeIngredients.cs", "C#", 9, 0, 3, 12
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Item\Inventory\ItemUpgrade.cs", "C#", 58, 2, 16, 76
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Item\ItemAbstract.cs", "C#", 18, 0, 5, 23
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Item\ItemCode.cs", "C#", 20, 0, 4, 24
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Item\ItemCtrl.cs", "C#", 37, 2, 12, 51
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Item\ItemDespawn.cs", "C#", 13, 0, 3, 16
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Item\ItemDropRate.cs", "C#", 7, 0, 2, 9
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Item\ItemDropSpawner.cs", "C#", 70, 6, 11, 87
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Item\ItemDropTest.cs", "C#", 39, 1, 7, 47
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Item\ItemProfileSO.cs", "C#", 19, 0, 3, 22
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Item\ItemType.cs", "C#", 6, 0, 2, 8
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Junk\JunkAbstract.cs", "C#", 17, 0, 4, 21
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Junk\JunkCtrl.cs", "C#", 34, 0, 8, 42
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Junk\JunkDamageReciver.cs", "C#", 39, 0, 10, 49
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Junk\JunkDespawn.cs", "C#", 13, 0, 3, 16
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Junk\JunkFly.cs", "C#", 32, 0, 9, 41
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Junk\Spawner\JunkSpawner.cs", "C#", 15, 0, 4, 19
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Junk\Spawner\JunkSpawnerCtrl.cs", "C#", 25, 0, 5, 30
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Map\MapCtrl.cs", "C#", 12, 2, 5, 19
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Map\MapLevel.cs", "C#", 15, 0, 3, 18
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Map\WormHole\WormHole.cs", "C#", 14, 0, 4, 18
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Object\IObjAppearObserver.cs", "C#", 8, 0, 3, 11
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Object\ObjAppearBigger.cs", "C#", 30, 0, 6, 36
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Object\ObjAppearWithoutShoot.cs", "C#", 34, 1, 11, 46
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Object\ObjAppearing.cs", "C#", 43, 0, 11, 54
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Object\ObjLook.cs", "C#", 21, 0, 5, 26
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Object\ObjLookAtMouse.cs", "C#", 14, 0, 4, 18
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Object\ObjLookAtPlayer.cs", "C#", 16, 1, 4, 21
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Object\ObjLookAtTarget.cs", "C#", 19, 0, 5, 24
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Object\ObjMoveForward.cs", "C#", 36, 0, 9, 45
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Object\ObjMovement.cs", "C#", 22, 1, 7, 30
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Object\ObjShooting.cs", "C#", 57, 1, 13, 71
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Player\PlayerAbilities.cs", "C#", 45, 0, 8, 53
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Player\PlayerAbstract.cs", "C#", 17, 0, 4, 21
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Player\PlayerCtrl.cs", "C#", 39, 0, 10, 49
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Player\PlayerPickup.cs", "C#", 13, 0, 3, 16
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Scripts\DamageReciver.cs", "C#", 52, 0, 12, 64
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Scripts\DamageSender.cs", "C#", 29, 0, 8, 37
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Scripts\FollowTarget.cs", "C#", 21, 0, 7, 28
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Scripts\GameCtrl.cs", "C#", 33, 0, 8, 41
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Scripts\JunkRotate.cs", "C#", 14, 0, 3, 17
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Scripts\Level.cs", "C#", 23, 0, 6, 29
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Scripts\LevelByDistance.cs", "C#", 25, 0, 6, 31
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Scripts\MissleDamageSender.cs", "C#", 11, 0, 2, 13
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Scripts\ParentFly.cs", "C#", 14, 0, 4, 18
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Scripts\RandomStringGenerator.cs", "C#", 15, 0, 3, 18
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Scripts\ScreenShake.cs", "C#", 34, 0, 7, 41
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Scripts\ShieldDamageReceiver.cs", "C#", 29, 0, 5, 34
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Scripts\ShipSelect.cs", "C#", 62, 0, 10, 72
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Scripts\SpawnPoints.cs", "C#", 23, 0, 5, 28
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Ship\ShipCode.cs", "C#", 21, 0, 4, 25
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Ship\ShipCtrl.cs", "C#", 21, 0, 7, 28
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Ship\ShipDamageReceiver.cs", "C#", 40, 0, 10, 50
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Ship\ShipFollowMouse.cs", "C#", 14, 0, 4, 18
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Ship\ShipFollowTarget.cs", "C#", 19, 0, 6, 25
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Ship\ShipShootByDis.cs", "C#", 23, 0, 6, 29
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Ship\ShipShootByMouse.cs", "C#", 10, 0, 3, 13
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Ship\ShipSpawner.cs", "C#", 17, 0, 4, 21
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Ship\ShipsManager.cs", "C#", 43, 1, 12, 56
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\ShootableObject\AbilityObject\AbilityObjectCtrl.cs", "C#", 18, 0, 4, 22
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\ShootableObject\Enemy\EnemyCtrl.cs", "C#", 9, 0, 3, 12
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\ShootableObject\Enemy\EnemyDespawn.cs", "C#", 13, 0, 3, 16
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\ShootableObject\Enemy\EnemySpawner.cs", "C#", 13, 0, 3, 16
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\ShootableObject\Enemy\MotherShipDespawn.cs", "C#", 13, 0, 4, 17
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\ShootableObject\Enemy\MotherShipSpawner.cs", "C#", 13, 0, 3, 16
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\ShootableObject\ShootableObjectAbstract.cs", "C#", 17, 0, 4, 21
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\ShootableObject\ShootableObjectCtrl.cs", "C#", 67, 0, 17, 84
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\ShootableObject\ShootableObjectDamageReciver.cs", "C#", 40, 0, 10, 50
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\ShootableObject\ShootableObjectSO.cs", "C#", 18, 0, 3, 21
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\ShootableObject\ShootableObjectSpawnerWithHPBar.cs", "C#", 12, 0, 3, 15
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\ShootableObject\ShootableObjectType.cs", "C#", 8, 0, 3, 11
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Spawner\Spawner.cs", "C#", 84, 0, 19, 103
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Spawner\SpawnerCtrl.cs", "C#", 25, 0, 6, 31
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\Spawner\SpawnerRandom.cs", "C#", 49, 0, 9, 58
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\Buttons\BaseButton.cs", "C#", 25, 0, 6, 31
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\Buttons\BtnExitGame.cs", "C#", 12, 0, 2, 14
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\Buttons\ButtonEnterGame.cs", "C#", 12, 0, 2, 14
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\HPBar\HPBar.cs", "C#", 52, 0, 15, 67
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\HotKey\Cooldown.cs", "C#", 41, 7, 9, 57
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\HotKey\DragItem.cs", "C#", 49, 0, 10, 59
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\HotKey\HotKeySlot.cs", "C#", 57, 1, 10, 68
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\HotKey\OnPressAlpha.cs", "C#", 24, 1, 5, 30
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\HotKey\Pressable\Pressable.cs", "C#", 7, 0, 2, 9
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\HotKey\Pressable\PressableAbility.cs", "C#", 17, 0, 2, 19
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\HotKey\UIHotKeyCtrl.cs", "C#", 27, 0, 6, 33
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\Inventory\BtnCloseInventory.cs", "C#", 10, 0, 2, 12
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\Inventory\BtnOpenInventory.cs", "C#", 10, 0, 2, 12
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\Inventory\InventoryOrderBy.cs", "C#", 8, 0, 2, 10
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\Inventory\InventorySort.cs", "C#", 9, 0, 2, 11
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\Inventory\UIInventory.cs", "C#", 90, 1, 18, 109
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\Inventory\UIInventoryAbstract.cs", "C#", 19, 0, 4, 23
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\Inventory\UIInventoryCtrl.cs", "C#", 28, 0, 6, 34
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\Inventory\UIInventoryItemSpawner.cs", "C#", 42, 0, 10, 52
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\Inventory\UIItemInventory.cs", "C#", 43, 0, 10, 53
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\Slider\BaseSlider.cs", "C#", 27, 1, 7, 35
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\Slider\SliderHp.cs", "C#", 24, 1, 6, 31
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\Text\BaseText.cs", "C#", 16, 0, 6, 22
"e:\UNITY\Unity Learning\Project2D\Assets\_Data\UI\Text\TextShipHp.cs", "C#", 14, 0, 3, 17
"Total", "-", 4127, 99, 961, 5187
